method,experiment,family,model,validation_accuracy,test_accuracy,test_minus_validation_pp,best_epoch,epochs,k_shot,episode_n_shot,seed,run_id,trainable_parameters,trainable_ratio_percent,parameter_training,training_mode
Random ResNet18 baseline,white_box_baseline,ResNet baselines,Randomly Initialized ResNet18,29.03,28.51,-0.5199999999999996,95.0,100.0,20,,42,,,,True,trained
ResNet18 full fine-tune,data_baseline_pretrained_resnet18,ResNet baselines,ImageNet Pretrained ResNet18,67.3,67.35,0.04999999999999716,85.0,100.0,20,,42,,,,True,trained
ResNet18 linear probe,data_baseline_frozen_pretrained_resnet18,ResNet baselines,ImageNet Pretrained ResNet18,87.1,87.6,0.5,65.0,100.0,20,,42,,,,True,trained
"ProtoNet, frozen ResNet18",model_baseline_frozen_pretrained_protonet,Prototypical networks,ImageNet Pretrained ResNet18,85.83,86.44,0.6099999999999994,,0.0,20,,42,,,,False,no parameter training
"ProtoNet, from scratch",from_scratch_protonet,Prototypical networks,Randomly Initialized ResNet18,20.1,19.55,-0.5500000000000007,100.0,100.0,20,5.0,42,protonet_20260916_193109_894991,,,True,trained
CLIP zero-shot,clip_zero_shot,CLIP without parameter training,OpenAI CLIP ViT-B/32,82.4,83.75,1.3499999999999943,,,0,,42,,,,False,no parameter training
CLIP linear probe,clip_linear_probe,CLIP with parameter training,OpenAI CLIP ViT-B/32,88.13,88.65,0.5200000000000102,65.0,100.0,20,,42,,,,True,trained
CLIP hard prompt,clip_hard_prompt_zero_shot,CLIP without parameter training,OpenAI CLIP ViT-B/32,86.2,86.98,0.7800000000000011,,,0,,42,,,,False,no parameter training
CLIP CoOp,clip_coop,CLIP with parameter training,OpenAI CLIP ViT-B/32,88.5,88.93,0.4300000000000068,10.0,100.0,20,,42,,2048.0,,True,trained
CLIP Tip-Adapter,clip_tip_adapter,CLIP without parameter training,OpenAI CLIP ViT-B/32,85.73,86.67,0.9399999999999977,,,20,,42,,,,False,no parameter training
CLIP LoRA,clip_lora,CLIP with parameter training,OpenAI CLIP ViT-B/32,88.5,89.82,1.3199999999999932,5.0,100.0,20,,42,,368640.0,0.2431,True,trained
CLIP-Adapter,clip_adapter,CLIP with parameter training,OpenAI CLIP ViT-B/32,88.47,89.64,1.1700000000000017,35.0,50.0,20,,42,,131072.0,0.0866,True,trained
